ClientID,Lat,Lon,ProductType,Kg
7194776562,4.69641404,-74.04410098,Dry,1
7194858436,4.6905863,-74.06545933,Dry,1
7194859756,4.63121065,-74.16843151,Chilled,17
7194859756,4.63121065,-74.16843151,Dry,142
7194908259,4.69410984,-74.08554061,Chilled,2
7194923845,4.64326459,-74.06109846,Dry,231
7194923845,4.64326459,-74.06109846,Frozen,5
7194926021,4.63270907,-74.13368745,Dry,660
7194926718,4.7299805,-74.03292477,Dry,100
7194928578,4.76719899,-74.184166,Dry,60
7194928757,4.677144636,-74.11724156,Chilled,36
7194930522,4.911600294,-74.04309115,Chilled,4
7194930763,4.69158677,-74.1179543,Chilled,30
7194930763,4.69158677,-74.1179543,Dry,52
7194932910,4.61202722,-74.08540868,Chilled,51
7194932910,4.61202722,-74.08540868,Dry,16
7194935624,4.64784161,-74.06079804,Dry,8
7194936277,4.66032524,-74.05369395,Dry,297
7194936277,4.66032524,-74.05369395,Frozen,5
7194937039,4.74897331,-74.09644886,Chilled,4
7194937039,4.74897331,-74.09644886,Dry,5
7194938053,4.68648658,-74.07545807,Chilled,6
7194939868,4.6681838,-74.05263939,Chilled,4
7194944940,4.60030296,-74.06913536,Frozen,28
7194946938,4.7723973,-74.04457099,Dry,55
7194946983,4.65403525,-74.04301231,Chilled,81
7194946983,4.65403525,-74.04301231,Dry,214
7194947157,4.62992216,-74.11214628,Dry,9
7194947291,4.64702498,-74.10241505,Dry,75
7194947670,4.68774506,-74.12691116,Chilled,11
7194947670,4.68774506,-74.12691116,Dry,12
7194947689,4.65253687,-74.10931626,Chilled,18
7194947689,4.65253687,-74.10931626,Dry,12
7194947703,4.65159597,-74.10677234,Dry,12
7194947703,4.65159597,-74.10677234,Chilled,23
7194947736,4.629176214,-74.159303,Chilled,10
7194947836,4.66604234,-74.0499708,Chilled,18
7194947836,4.66604234,-74.0499708,Dry,12
7194947871,4.70220508,-74.04270612,Chilled,1
7194947871,4.70220508,-74.04270612,Dry,12
7194947883,4.63120336,-74.06370665,Chilled,57
7194947883,4.63120336,-74.06370665,Dry,124
7194947886,4.67222,-74.05123,Chilled,4
7194947886,4.67222,-74.05123,Dry,8
7194948187,4.65364791,-74.05500095,Dry,928
