Date,TransportID,ClientID,Lat,Lon,Kg,ProductType
2024-06-11,651626695,7195116916,4.8633801350075005,-74.0353619422686,230,Chilled
2024-06-11,651626695,7195130536,4.894729477965872,-74.01769342309392,42,Chilled
2024-06-11,651626695,7195130536,4.894729477965872,-74.01769342309392,149,Dry
2024-06-11,651626695,7195144620,4.864192393293887,-74.04449818114192,59,Dry
2024-06-11,651626695,7195149498,4.861666996613009,-74.0346457169924,46,Dry
2024-06-11,651626695,7195153038,4.851507912582834,-74.06143290233906,44,Dry
2024-06-11,651626695,7195153751,4.861647678921323,-74.03474361000436,96,Dry
2024-06-11,651626695,7195154171,4.883552151778043,-74.03730925957626,102,Dry
2024-06-11,651626696,7195049810,4.766013261252179,-74.17746857546922,475,Frozen
2024-06-11,651626696,7195082887,4.7962402257841985,-74.19073490319792,46,Dry
2024-06-11,651626696,7195133899,4.786103747146119,-74.22011105216717,50,Dry
2024-06-11,651626696,7195135481,4.7047553976904615,-74.24286638824442,69,Chilled
2024-06-11,651626696,7195152562,4.855848970605215,-74.13402397387448,73,Dry
2024-06-11,651626697,7195122009,4.520584836122204,-74.20864251186218,56,Dry
2024-06-11,651626697,7195142783,4.630718683472653,-74.1842558087713,277,Dry
2024-06-11,651626697,7195143239,4.579513231774644,-74.1253806042278,40,Dry
2024-06-11,651626697,7195150885,4.625249446914467,-74.18113445221992,71,Dry
2024-06-11,651626697,7195154634,4.608138585508959,-74.17353389563301,242,Chilled
2024-06-11,651626698,7195127394,4.887165837343537,-73.96377428764984,87,Dry
2024-06-11,651626698,7195144282,4.913283413348547,-73.94211496500618,66,Dry
2024-06-11,651626699,7195148085,4.679613563880366,-74.1324114943215,42,Chilled
2024-06-11,651626699,7195156363,4.677304770451581,-74.13763418181433,42,Chilled
2024-06-11,651626699,7195156363,4.677304770451581,-74.13763418181433,137,Dry
2024-06-11,651626699,7195156697,4.677228113586714,-74.13756157253977,40,Chilled
2024-06-11,651626699,7195156697,4.677228113586714,-74.13756157253977,374,Dry
2024-06-11,651626699,7195157131,4.677201959715726,-74.13771614547778,71,Chilled
2024-06-11,651626699,7195157131,4.677201959715726,-74.13771614547778,250,Dry
2024-06-11,651626699,7195157352,4.677267186343458,-74.13757982677977,96,Dry
2024-06-11,651626699,7195157352,4.677267186343458,-74.13757982677977,98,Frozen
2024-06-11,651626699,7195157495,4.677158043582306,-74.13764690110342,64,Chilled
2024-06-11,651626699,7195157495,4.677158043582306,-74.13764690110342,181,Dry
2024-06-11,651626700,7195019791,4.728716386485828,-74.12703728896847,52,Chilled
2024-06-11,651626700,7195019791,4.728716386485828,-74.12703728896847,55,Dry
2024-06-11,651626700,7195140542,4.768258046533113,-74.14529905225181,122,Dry
2024-06-11,651626700,7195141053,4.741419633202365,-74.14183594336247,172,Dry
2024-06-11,651626700,7195149626,4.764753085773018,-74.17872680947484,59,Dry
2024-06-11,651626700,7195151792,4.74305492097062,-74.14238492368156,60,Dry
2024-06-11,651626700,7195152543,4.769420091504131,-74.1773007203031,841,Dry
2024-06-11,651626700,7195152752,4.769542772891278,-74.1773138811028,84,Dry
2024-06-11,651626701,7195114071,4.763408317970925,-74.04618437057778,230,Chilled
2024-06-11,651626701,7195128240,4.76324724713685,-74.04627799961288,69,Dry
2024-06-11,651626701,7195128926,4.772312703640528,-74.04450887266611,87,Chilled
2024-06-11,651626701,7195128926,4.772312703640528,-74.04450887266611,76,Dry
2024-06-11,651626701,7195142472,4.820170628467472,-74.03595812736194,79,Chilled
2024-06-11,651626701,7195144863,4.756175898689828,-74.0259893801883,43,Chilled
2024-06-11,651626701,7195144863,4.756175898689828,-74.0259893801883,48,Dry
2024-06-11,651626701,7195152060,4.792865867139912,-74.07599259704973,187,Chilled
2024-06-11,651626701,7195152151,4.756196386903439,-74.02611865677409,120,Dry
2024-06-11,651626702,7195098438,4.632329606739048,-74.11626996920567,144,Chilled
2024-06-11,651626702,7195138151,4.62644363310757,-74.10230478742257,48,Dry
2024-06-11,651626702,7195139414,4.626282200314551,-74.10220445789649,95,Chilled
2024-06-11,651626702,7195139414,4.626282200314551,-74.10220445789649,69,Dry
2024-06-11,651626702,7195145572,4.626602960941285,-74.10433354451949,62,Chilled
2024-06-11,651626703,7195138015,4.685993089425223,-74.12966954175391,51,Chilled
2024-06-11,651626703,7195145036,4.6891457135876635,-74.13118802233859,165,Dry
2024-06-11,651626703,7195145393,4.698191926642867,-74.14069387829987,191,Dry
2024-06-11,651626703,7195149877,4.689179691975226,-74.1312179769243,183,Dry
2024-06-11,651626703,7195150231,4.689127245350968,-74.1312155794709,99,Frozen
2024-06-11,651626704,7195094634,4.680447362269328,-74.05713702350837,70,Dry
2024-06-11,651626704,7195132991,4.6751133127301,-74.05411428512146,40,Chilled
2024-06-11,651626704,7195137899,4.680480648484913,-74.0473913860977,50,Dry
2024-06-11,651626704,7195138990,4.676147958560024,-74.04864288036839,42,Chilled
2024-06-11,651626704,7195142306,4.679397219872757,-74.05338202857031,105,Dry
2024-06-11,651626704,7195144803,4.675274877726063,-74.04945061728563,99,Dry
2024-06-11,651626704,7195145460,4.790596484826854,-73.9532028805658,202,Chilled
2024-06-11,651626704,7195145460,4.790596484826854,-73.9532028805658,323,Dry
2024-06-11,651626704,7195150486,4.674598835259702,-74.05377883240321,75,Dry
2024-06-11,651626705,7194981888,4.702073029805611,-74.08234288504447,41,Dry
